Designator,Mid X,Mid Y,Rotation,Layer
C1,24.4,86.0,0.0,top
C10,7.0,9.4,180.0,top
C2,24.4,62.0,0.0,top
C3,24.4,38.0,0.0,top
C4,24.4,14.0,0.0,top
C5,82.4,14.0,0.0,top
C6,82.4,38.0,0.0,top
C7,82.4,62.05,0.0,top
C8,82.4,86.0,0.0,top
C9,12.0,8.2,-90.0,top
D1,58.0,92.5,90.0,top
D10,58.0,55.428574,90.0,top
D11,40.0,55.428574,90.0,top
D12,22.0,55.5,90.0,top
D13,58.0,44.5,90.0,top
D14,40.0,44.5,90.0,top
D15,22.0,44.5,90.0,top
D16,58.0,31.428574,90.0,top
D17,40.0,31.428574,90.0,top
D18,22.0,31.5,90.0,top
D19,58.0,20.5,90.0,top
D2,40.0,92.5,90.0,top
D20,40.0,20.5,90.0,top
D21,22.0,20.5,90.0,top
D22,58.0,7.428574,90.0,top
D23,40.0,7.428574,90.0,top
D24,22.0,7.5,90.0,top
D25,116.0,20.5,90.0,top
D26,98.0,20.5,90.0,top
D27,80.0,20.5,90.0,top
D28,116.0,7.428574,90.0,top
D29,98.0,7.428574,90.0,top
D3,22.0,92.5,90.0,top
D30,80.0,7.5,90.0,top
D31,116.0,44.5,90.0,top
D32,98.0,44.5,90.0,top
D33,80.0,44.5,90.0,top
D34,116.0,31.428574,90.0,top
D35,98.0,31.428574,90.0,top
D36,80.0,31.5,90.0,top
D37,116.0,68.55,90.0,top
D38,98.0,68.55,90.0,top
D39,80.0,68.55,90.0,top
D4,58.0,79.428574,90.0,top
D40,116.0,55.478574,90.0,top
D41,98.0,55.478574,90.0,top
D42,80.0,55.55,90.0,top
D43,116.0,92.5,90.0,top
D44,98.0,92.5,90.0,top
D45,80.0,92.5,90.0,top
D46,116.0,79.428574,90.0,top
D47,98.0,79.428574,90.0,top
D48,80.0,79.5,90.0,top
D5,40.0,79.428574,90.0,top
D6,22.0,79.5,90.0,top
D7,58.0,68.5,90.0,top
D8,40.0,68.5,90.0,top
D9,22.0,68.5,90.0,top
J1,13.6975,66.11,180.0,top
J2,13.6975,16.11,180.0,top
J3,141.0475,58.89,0.0,top
J4,155.305,11.9,90.0,top
K1,67.0,91.5,90.0,top
K10,67.0,56.5,90.0,top
K11,49.0,56.5,90.0,top
K12,31.0,56.5,90.0,top
K13,67.0,43.5,90.0,top
K14,49.0,43.5,90.0,top
K15,31.0,43.5,90.0,top
K16,67.0,32.5,90.0,top
K17,49.0,32.5,90.0,top
K18,31.0,32.5,90.0,top
K19,67.0,19.5,90.0,top
K2,49.0,91.5,90.0,top
K20,49.0,19.5,90.0,top
K21,31.0,19.5,90.0,top
K22,67.0,8.5,90.0,top
K23,49.0,8.5,90.0,top
K24,31.0,8.5,90.0,top
K25,125.0,19.5,90.0,top
K26,107.0,19.5,90.0,top
K27,89.0,19.5,90.0,top
K28,125.0,8.5,90.0,top
K29,107.0,8.5,90.0,top
K3,31.0,91.5,90.0,top
K30,89.0,8.5,90.0,top
K31,125.0,43.5,90.0,top
K32,107.0,43.5,90.0,top
K33,89.0,43.5,90.0,top
K34,125.0,32.5,90.0,top
K35,107.0,32.5,90.0,top
K36,89.0,32.5,90.0,top
K37,125.0,67.55,90.0,top
K38,107.0,67.55,90.0,top
K39,89.0,67.55,90.0,top
K4,67.0,80.5,90.0,top
K40,125.0,56.55,90.0,top
K41,107.0,56.55,90.0,top
K42,89.0,56.55,90.0,top
K43,125.0,91.5,90.0,top
K44,107.0,91.5,90.0,top
K45,89.0,91.5,90.0,top
K46,125.0,80.5,90.0,top
K47,107.0,80.5,90.0,top
K48,89.0,80.5,90.0,top
K5,49.0,80.5,90.0,top
K6,31.0,80.5,90.0,top
K7,67.0,67.5,90.0,top
K8,49.0,67.5,90.0,top
K9,31.0,67.5,90.0,top
U1,20.0,86.0,-90.0,top
U10,14.0,8.0,90.0,top
U2,20.0,62.0,-90.0,top
U3,20.0,38.0,-90.0,top
U4,20.0,14.0,-90.0,top
U5,78.0,14.0,-90.0,top
U6,78.0,38.0,-90.0,top
U7,78.0,62.05,-90.0,top
U8,78.0,86.0,-90.0,top
U9,10.0,8.0,90.0,top
