Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x16","IDC-Header_2x08_P2.54mm_Horizontal",207.302500,-130.890000,0.000000,bottom
"J5","Conn_01x02","New_PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",210.067500,-97.515000,-90.000000,bottom
"K5","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",75.000001,-99.000000,-90.000000,bottom
"K6","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",75.000001,-108.000000,-90.000000,bottom
"K7","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",75.000001,-117.000000,-90.000000,bottom
"K8","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",75.000000,-126.000000,-90.000000,bottom
"K13","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",86.000001,-99.000000,-90.000000,bottom
"K14","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",86.000001,-108.000000,-90.000000,bottom
"K15","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",86.000001,-117.000000,-90.000000,bottom
"K16","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",86.000000,-126.000000,-90.000000,bottom
"K21","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",97.000001,-99.000000,-90.000000,bottom
"K22","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",97.000001,-108.000000,-90.000000,bottom
"K23","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",97.000001,-117.000000,-90.000000,bottom
"K24","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",97.000000,-126.000000,-90.000000,bottom
"K29","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",108.000001,-99.000000,-90.000000,bottom
"K30","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",108.000001,-108.000000,-90.000000,bottom
"K31","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",108.000001,-117.000000,-90.000000,bottom
"K32","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",108.000000,-126.000000,-90.000000,bottom
"K37","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",119.000001,-99.000000,-90.000000,bottom
"K38","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",119.000001,-108.000000,-90.000000,bottom
"K39","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",119.000001,-117.000000,-90.000000,bottom
"K40","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",119.000000,-126.000000,-90.000000,bottom
"K45","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",130.000001,-99.000000,-90.000000,bottom
"K46","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",130.000001,-108.000000,-90.000000,bottom
"K47","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",130.000001,-117.000000,-90.000000,bottom
"K48","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",130.000000,-126.000000,-90.000000,bottom
"K53","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",141.000001,-99.000000,-90.000000,bottom
"K54","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",141.000001,-108.000000,-90.000000,bottom
"K55","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",141.000001,-117.000000,-90.000000,bottom
"K56","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",141.000000,-126.000000,-90.000000,bottom
"K61","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",152.000001,-99.000000,-90.000000,bottom
"K62","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",152.000001,-108.000000,-90.000000,bottom
"K63","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",152.000001,-117.000000,-90.000000,bottom
"K64","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",152.000000,-126.000000,-90.000000,bottom
"K69","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",163.000001,-99.000000,-90.000000,bottom
"K70","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",163.000001,-108.000000,-90.000000,bottom
"K71","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",163.000001,-117.000000,-90.000000,bottom
"K72","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",163.000000,-126.000000,-90.000000,bottom
"K77","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",174.000001,-99.000000,-90.000000,bottom
"K78","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",174.000001,-108.000000,-90.000000,bottom
"K79","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",174.000001,-117.000000,-90.000000,bottom
"K80","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",174.000000,-126.000000,-90.000000,bottom
"K85","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",185.000001,-99.000000,-90.000000,bottom
"K86","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",185.000001,-108.000000,-90.000000,bottom
"K87","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",185.000001,-117.000000,-90.000000,bottom
"K88","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",185.000000,-126.000000,-90.000000,bottom
"K93","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",196.000001,-99.000000,-90.000000,bottom
